file,electric,lightning,nuclear,temporal
campione_1_lightning_neutron\nasa_ads_26649474.json,0,0,1,0
campione_1_lightning_neutron\nasa_ads_402863.json,0,0,1,0
campione_1_lightning_neutron\source_noaa_opendata_fallback_0.json,3,1,7,0
campione_1_lightning_neutron\source_noaa_opendata_fallback_1.json,2,3,2,2
campione_1_lightning_neutron\source_noaa_opendata_fallback_2.json,1,2,5,2
campione_1_lightning_neutron\source_openaire_fallback_0.json,0,2,5,1
campione_1_lightning_neutron\source_openaire_fallback_1.json,2,3,2,2
campione_1_lightning_neutron\source_openaire_fallback_2.json,1,2,0,3
campione_2_tgf\arxiv_1009.5544.json,0,0,2,0
campione_2_tgf\arxiv_1101.3697.json,0,0,1,0
campione_2_tgf\arxiv_1102.4024.json,0,0,1,1
campione_2_tgf\arxiv_1111.2188.json,0,0,1,0
campione_2_tgf\arxiv_1112.2865.json,0,0,2,0
campione_2_tgf\arxiv_1202.4879.json,0,0,1,0
campione_2_tgf\arxiv_1301.5506.json,0,0,1,0
campione_2_tgf\arxiv_1312.5737.json,0,0,1,0
campione_2_tgf\arxiv_1505.02961.json,0,0,2,0
campione_2_tgf\arxiv_1505.02971.json,0,0,2,1
campione_2_tgf\arxiv_1506.07072.json,0,0,0,0
campione_2_tgf\arxiv_1601.07474.json,0,0,0,0
campione_2_tgf\arxiv_1605.05465.json,0,0,1,0
campione_2_tgf\arxiv_1605.05529.json,0,0,1,0
campione_2_tgf\arxiv_1605.07481.json,0,0,0,0
campione_2_tgf\arxiv_1605.07771.json,0,0,0,0
campione_2_tgf\arxiv_1605.07886.json,0,0,1,0
campione_2_tgf\arxiv_1605.08205.json,0,0,1,0
campione_2_tgf\arxiv_1607.04511.json,0,0,0,0
campione_2_tgf\arxiv_1701.00105.json,0,0,0,0
campione_2_tgf\arxiv_1705.06258.json,0,1,1,0
campione_2_tgf\arxiv_1708.06406.json,0,0,1,0
campione_2_tgf\arxiv_1708.07315.json,2,1,0,0
campione_2_tgf\arxiv_1708.07322.json,0,1,1,0
campione_2_tgf\arxiv_1711.08044.json,0,1,0,0
campione_2_tgf\arxiv_1802.06605.json,0,0,0,0
campione_2_tgf\arxiv_1805.04721.json,0,1,0,0
campione_2_tgf\arxiv_1805.10504.json,0,0,0,0
campione_2_tgf\arxiv_1808.08865.json,0,0,0,0
campione_2_tgf\arxiv_1809.04181.json,0,0,0,0
campione_2_tgf\arxiv_1810.02778.json,0,0,0,0
campione_2_tgf\arxiv_1810.03853.json,0,1,1,0
campione_2_tgf\arxiv_1810.03959.json,0,0,0,0
campione_2_tgf\arxiv_1811.06212.json,0,0,0,0
campione_2_tgf\arxiv_1812.07831.json,0,0,0,0
campione_2_tgf\arxiv_1812.08535.json,0,0,0,0
campione_2_tgf\arxiv_1902.04325.json,0,0,0,0
campione_2_tgf\arxiv_1903.01492.json,1,0,0,0
campione_2_tgf\arxiv_1903.03131.json,0,0,0,0
campione_2_tgf\arxiv_1906.05048.json,0,0,0,0
campione_2_tgf\arxiv_1906.10452.json,0,0,1,0
campione_2_tgf\arxiv_1906.12178.json,0,0,0,0
campione_2_tgf\arxiv_1907.06239.json,0,0,1,0
campione_2_tgf\arxiv_1907.06842.json,0,0,1,0
campione_2_tgf\arxiv_1908.02730.json,0,0,0,0
campione_2_tgf\arxiv_1909.00339.json,0,0,1,0
campione_2_tgf\arxiv_1911.08309.json,0,0,0,0
campione_2_tgf\arxiv_1912.07881.json,0,0,0,0
campione_2_tgf\arxiv_2001.09759.json,0,1,1,0
campione_2_tgf\arxiv_2002.11460.json,0,0,0,0
campione_2_tgf\arxiv_2004.09758.json,0,0,0,1
campione_2_tgf\arxiv_2004.13416.json,0,0,0,0
campione_2_tgf\arxiv_2005.09278.json,0,1,0,0
campione_2_tgf\arxiv_2007.06079.json,0,0,0,0
campione_2_tgf\arxiv_2009.07307.json,0,0,2,0
campione_2_tgf\arxiv_2009.08108.json,0,0,0,0
campione_2_tgf\arxiv_2009.14327.json,0,0,1,0
campione_2_tgf\arxiv_2012.01376.json,0,0,0,0
campione_2_tgf\arxiv_2012.07193.json,0,0,1,0
campione_2_tgf\arxiv_2101.12256.json,0,0,0,0
campione_2_tgf\arxiv_2102.08104.json,1,0,1,0
campione_2_tgf\arxiv_2102.08697.json,0,0,0,0
campione_2_tgf\arxiv_2105.13519.json,0,0,0,0
campione_2_tgf\arxiv_2107.04272.json,0,0,1,0
campione_2_tgf\arxiv_2108.02020.json,0,0,0,0
campione_2_tgf\arxiv_2108.11108.json,0,0,1,0
campione_2_tgf\arxiv_2108.13900.json,0,0,0,0
campione_2_tgf\arxiv_2112.08004.json,0,0,0,0
campione_2_tgf\arxiv_2201.10134.json,0,0,2,0
campione_2_tgf\arxiv_2201.13220.json,0,0,0,0
campione_2_tgf\arxiv_2202.13106.json,0,0,1,0
campione_2_tgf\arxiv_2203.00535.json,0,0,0,0
campione_2_tgf\arxiv_2203.08160.json,0,0,0,0
campione_2_tgf\arxiv_2205.05115.json,0,1,1,0
campione_2_tgf\arxiv_2206.00741.json,0,0,0,0
campione_2_tgf\arxiv_2206.12299.json,0,0,0,0
campione_2_tgf\arxiv_2210.07687.json,0,0,0,0
campione_2_tgf\arxiv_2211.00025.json,0,0,0,0
campione_2_tgf\arxiv_2211.04626.json,0,0,1,0
campione_2_tgf\arxiv_2211.09688.json,0,0,1,0
campione_2_tgf\arxiv_2211.12052.json,0,0,0,0
campione_2_tgf\arxiv_2211.12055.json,0,0,0,0
campione_2_tgf\arxiv_2211.15570.json,0,0,0,0
campione_2_tgf\arxiv_2212.11413.json,0,0,1,0
campione_2_tgf\arxiv_2301.00416.json,1,0,0,0
campione_2_tgf\arxiv_2301.00542.json,0,0,0,0
campione_2_tgf\arxiv_2302.08321.json,0,0,2,0
campione_2_tgf\arxiv_2303.15936.json,0,0,0,0
campione_2_tgf\arxiv_2305.05434.json,0,0,1,0
campione_2_tgf\arxiv_2306.03059.json,0,0,0,0
campione_2_tgf\arxiv_2306.04036.json,0,0,0,0
campione_2_tgf\arxiv_2306.10255.json,0,0,1,0
campione_2_tgf\arxiv_2308.05662.json,0,0,1,0
campione_2_tgf\arxiv_2308.12812.json,0,0,0,0
campione_2_tgf\arxiv_2308.15240.json,0,0,0,0
campione_2_tgf\arxiv_2310.15490.json,0,0,0,0
campione_2_tgf\arxiv_2403.15513.json,0,0,0,0
campione_2_tgf\arxiv_2405.04836.json,0,0,1,0
campione_2_tgf\arxiv_2406.16159.json,0,0,0,0
campione_2_tgf\arxiv_2407.06311.json,0,0,0,0
campione_2_tgf\arxiv_2407.07155.json,0,0,1,0
campione_2_tgf\arxiv_2412.01906.json,0,0,0,0
campione_2_tgf\arxiv_2412.15972.json,0,1,0,0
campione_2_tgf\arxiv_2503.03161.json,0,0,1,0
campione_2_tgf\arxiv_2505.11324.json,0,0,0,0
campione_2_tgf\arxiv_2505.16269.json,0,0,0,0
campione_2_tgf\arxiv_2506.07941.json,0,0,0,0
campione_2_tgf\arxiv_2507.15669.json,0,0,1,0
campione_2_tgf\arxiv_2507.16250.json,1,0,0,0
campione_2_tgf\arxiv_2508.21533.json,0,0,0,0
campione_2_tgf\arxiv_2510.22412.json,0,0,1,0
campione_2_tgf\arxiv_2511.14561.json,0,0,0,0
campione_2_tgf\arxiv_2511.21723.json,0,0,2,0
campione_2_tgf\arxiv_2512.07859.json,0,0,1,0
campione_2_tgf\arxiv_2601.17234.json,0,0,0,0
campione_2_tgf\arxiv_2601.19289.json,0,0,0,0
campione_2_tgf\arxiv_2602.09544.json,0,0,0,0
campione_2_tgf\arxiv_2604.14385.json,0,0,0,0
campione_2_tgf\arxiv_2605.31554.json,0,0,1,0
campione_2_tgf\figshare_11833488.json,0,0,0,3
campione_2_tgf\figshare_12746531.json,0,0,10,0
campione_2_tgf\figshare_16803679.json,0,0,1,0
campione_2_tgf\figshare_27757926.json,0,0,0,0
campione_2_tgf\figshare_28759229.json,0,0,0,0
campione_2_tgf\nasa_ads_10020313.json,0,4,6,0
campione_2_tgf\nasa_ads_11795372.json,0,0,4,0
campione_2_tgf\nasa_ads_12466245.json,0,1,1,0
campione_2_tgf\nasa_ads_13408978.json,0,1,6,0
campione_2_tgf\nasa_ads_15117807.json,0,0,4,0
campione_2_tgf\nasa_ads_15599733.json,0,0,0,0
campione_2_tgf\nasa_ads_27066085.json,0,0,0,0
campione_2_tgf\nasa_ads_27364844.json,1,0,0,0
campione_2_tgf\nasa_ads_28270243.json,0,0,0,0
campione_2_tgf\nasa_ads_28394277.json,0,0,0,0
campione_2_tgf\nasa_ads_28688152.json,0,0,0,0
campione_2_tgf\nasa_ads_28914588.json,0,0,0,0
campione_2_tgf\nasa_ads_36649927.json,0,0,0,0
campione_2_tgf\nasa_ads_8148573.json,0,0,0,0
campione_2_tgf\nasa_ads_8680479.json,0,0,0,0
campione_2_tgf\source_noaa_opendata_fallback_0.json,1,2,3,2
campione_2_tgf\source_noaa_opendata_fallback_1.json,1,2,0,3
campione_2_tgf\source_noaa_opendata_fallback_2.json,1,3,3,0
campione_2_tgf\source_openaire_fallback_0.json,4,1,4,2
campione_2_tgf\source_openaire_fallback_1.json,3,0,7,2
campione_2_tgf\source_openaire_fallback_2.json,1,3,3,0
campione_2_tgf\zenodo_6782049_Fig_1.json,0,0,0,0
campione_2_tgf\zenodo_6782049_Fig_2.json,0,0,0,0
campione_2_tgf\zenodo_7730674_CMakeLists.json,0,0,0,0
campione_2_tgf\zenodo_7739117_12km_full_upward_Hits.json,0,0,0,0
campione_2_tgf\zenodo_7739117_20190725.nldn.json,0,0,0,0
campione_2_tgf\zenodo_7739117_6km_full_upward_Hits.json,0,0,0,0
campione_2_tgf\zenodo_7739117_8km_full_upward_Hits.json,0,0,0,0
campione_2_tgf\zenodo_7739117_joeAltdown_reverseonly_10.json,0,0,0,0
campione_2_tgf\zenodo_7739117_joeAltdown_reverseonly_6.json,0,0,0,0
campione_2_tgf\zenodo_7739117_joeAltdown_reverseonly_8.json,0,0,0,0
campione_2_tgf\zenodo_7739117_joeAltdown_reverseonly_9.json,0,0,0,0
campione_2_tgf\zenodo_7739117_joeupAlt_12.json,0,0,0,0
campione_2_tgf\zenodo_7739117_joeupAlt_6.json,0,0,0,0
campione_2_tgf\zenodo_7739117_joeupAlt_8.json,0,0,0,0
campione_2_tgf\zenodo_7739117_x1000_6km_reverseonly_Hits.json,0,0,0,0
campione_2_tgf\zenodo_7739117_x1000_8km_reverseonly_Hits.json,0,0,0,0
campione_2_tgf\zenodo_7739117_x1000_9km_reverseonly_Hits.json,0,0,0,0
campione_2_tgf\zenodo_7739117_x10_10km_reverseonly_Hits.json,0,0,0,0
campione_2_tgf\zenodo_8226529_Event1_gammas.json,0,0,0,0
campione_2_tgf\zenodo_8226529_Event2_gammas.json,0,0,0,0
campione_2_tgf\zenodo_8226529_Event3_gammas.json,0,0,0,0
campione_2_tgf\zenodo_8226529_entln_waveform_20180719T10112_MNZNL.json,0,0,0,0
campione_2_tgf\zenodo_8226529_entln_waveform_20210609T152521o165148_WNGRT.json,0,0,0,0
campione_2_tgf\zenodo_8226529_entln_waveform_20210609T174817o847036_BNNEY.json,0,0,0,0
campione_2_tgf\zenodo_8226529_entln_waveform_20210609T174817o847036_LRCAY_646_km.json,0,0,0,0
campione_2_tgf\zenodo_8226529_entln_waveform_20210609T174817o847036_ORA08_399_km.json,0,0,0,0
campione_2_tgf\zenodo_8226529_entln_waveform_20210609T174817o847036_PULIA_915_km.json,0,0,0,0
campione_2_tgf\zenodo_8226529_entln_waveform_20210609T174817o847036_RAMDE_279_km.json,0,0,0,0
campione_2_tgf\zenodo_8226529_entln_waveform_20210609T174817o847036_SACKS_805_km.json,0,0,0,0
campione_2_tgf\zenodo_8226529_entln_waveform_20210816T053815o309372_BNNEY.json,0,0,0,0
campione_2_tgf\zenodo_8226529_entln_waveform_20210816T053815o309372_ORA08.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_1802.06605.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_1805.04721.json,0,1,0,0
campione_3_neutron_burst_thunderstorm\arxiv_1805.10504.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_1808.08865.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_1809.04181.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_1810.02778.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_1810.03853.json,0,1,1,0
campione_3_neutron_burst_thunderstorm\arxiv_1810.03959.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_1812.07831.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_1812.08535.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_1903.01492.json,1,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_1903.03131.json,0,0,0,0
